code,title_y,address,price,rating_x,like-dislike,rating_y,commentCount_y,distance,score5-1,commentCount_x,lat,lon,textCommentCount,count
6djyze,هام برگر,بین وکیل آباد 19 و 21، پلاک 253، هام برگر,0.7636511993835885,0.0,0.031212484993997595,0.8895213921453322,0.0011078888200984065,0.919604172644892,0.7692307692307693,149.0,36.322864,59.517061,25.0,0.005952380952380952
6dod4g,فست فود می شف,بلوار سجاد، خیابان بزرگمهر شمالی 2، پلاک 44، طبقه 2، فست فود می شف,0.5782927045704924,0.4558309037900875,0.01500600240096038,0.8891409863396855,0.002541627293166933,0.9409398368975244,0.7264957264957265,237.0,36.318272,59.551316,38.0,0.23214285714285715
6dol7n,کترینگ اَویتا,شاهد، خیابان استاد یوسفی 10 (ادیب 22/4)، خیابان استاد یوسفی (شهید فلاحی 84)، کترینگ اَویتا,0.8318720253490581,0.517214195619768,0.07779111644657863,0.8915791662849728,0.02122910489100329,0.9067603534224821,0.717948717948718,1384.0,36.356104,59.509825,271.0,0.08333333333333333
6doyyg,فست فود پویان,جاهدشهر، بلوار سجادیه، بین خیابان سجادیه 8 و 10، ساختمان فاز تجاری سازه شرق A، طبقه همکف، واحد 12، فست فود پویان,0.90453050042453,0.03291639236339697,0.02354490183170042,0.9241595021070396,0.0020039753657662353,0.8801077381146516,0.811965811965812,204.0,36.364848,59.466879,26.0,0.17857142857142858
7j477n,اغذیه مهرسام,طبرسی شمالی، بین 13 و 15، اغذیه مهرسام,0.9126956471192439,0.5719849016211037,0.022363231006688387,0.7977805683846905,0.011535077715142233,0.9740276973809482,0.5213675213675214,789.0,36.3184508,59.664789199999994,88.0,0.20238095238095238
7j4dln,کترینگ غذای خاص,کلاهدوز 43، آشپزخانه مسجد امام جعفر صادق (ع)، کترینگ غذای خاص,0.8495962177895563,0.8085068774534647,0.14580377605587688,0.8713688465399355,0.06629411189677083,0.960835771863884,0.6666666666666666,4150.0,36.314039,59.584205,694.0,0.05952380952380952
7j5ezx,پیتزا و مرغ سوخاری کیلویی رادینافود,قاسم آباد، شریعتی 40، پلاک 2، پیتزا و مرغ سوخاری کیلویی رادینافود,0.7664845516387303,0.0,0.01484230055658627,0.639071587481197,0.0033236664602952198,0.9120188000387219,0.24786324786324787,285.0,36.352082,59.51709700000001,48.0,0.125
7j5kdx,ساندویچ سرد صدف (شعبه وکیل آباد),بلوار وکیل آباد، بین خیابان وکیل آباد 37 و 39، اولین مغازه چپ، پلاک 913، طبقه همکف، ساندویچ سرد صدف (شعبه وکیل آباد),0.8278737914719638,0.0,0.058583433373349335,0.9325465841906366,0.007282739743882173,0.905708188990399,0.7777777777777778,528.0,36.330127,59.496337,52.0,0.05357142857142857
7j5v9m,کبابی محفل,بین میثم شمالی 37 و 39، کبابی محفل,0.9366273545599951,0.0,0.2602641056422569,0.9298741254705499,0.018703770080484863,0.9746247604081921,0.8205128205128205,1229.0,36.3159715,59.6666718,204.0,0.05357142857142857
7j5w7n,گریل هاوس,فکوری 11، بین شقایق 10 و 12، پلاک 4، جنب املاک حقیقت، گریل هاوس,0.5479875567489116,0.0,0.03738638312467844,0.8306828999851457,0.0009775489589103588,0.8992841318408985,0.6495726495726496,141.0,36.311839980014,59.481058716774,18.0,0.16071428571428573
